Station,GeogName,GeoID
DELANCEY/ESSEX,CHINATOWN,MN27
BOWERY,CHINATOWN,MN27
1 AV,EAST VILLAGE,MN22
2 AV,EAST VILLAGE,MN22
3 AV,GRAMERCY,MN21
18 ST,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE,MN13
14 ST,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE,MN13
RIT-ROOSEVELT,LENOX HILL-ROOSEVELT ISLAND,MN31
66 ST-LINCOLN,LINCOLN SQUARE,MN14
59 ST COLUMBUS,LINCOLN SQUARE,MN14
EAST BROADWAY,LOWER EAST SIDE,MN28
137 ST CITY COL,MANHATTANVILLE,MN06
INWOOD-207 ST,MARBLE HILL-INWOOD,MN01
207 ST,MARBLE HILL-INWOOD,MN01
215 ST,MARBLE HILL-INWOOD,MN01
MARBLE HILL-225,MARBLE HILL-INWOOD,MN01
34 ST-HERALD SQ,MIDTOWN-MIDTOWN SOUTH,MN17
28 ST,MIDTOWN-MIDTOWN SOUTH,MN17
46 ST BLISS ST,MIDTOWN-MIDTOWN SOUTH,MN17
49 ST,MIDTOWN-MIDTOWN SOUTH,MN17
5 AV/53 ST,MIDTOWN-MIDTOWN SOUTH,MN17
5 AVE,MIDTOWN-MIDTOWN SOUTH,MN17
57 ST,MIDTOWN-MIDTOWN SOUTH,MN17
57 ST-7 AV,MIDTOWN-MIDTOWN SOUTH,MN17
34 ST-PENN STA,MIDTOWN-MIDTOWN SOUTH,MN17
42 ST-BRYANT PK,MIDTOWN-MIDTOWN SOUTH,MN17
33 ST,MIDTOWN-MIDTOWN SOUTH,MN17
75 ST-ELDERTS,MIDTOWN-MIDTOWN SOUTH,MN17
CATHEDRAL PKWY,MORNINGSIDE HEIGHTS,MN09
116 ST-COLUMBIA,MORNINGSIDE HEIGHTS,MN09
RECTOR ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
WHITEHALL S-FRY,PARK-CEMETERY-ETC-MANHATTAN,MN99
23 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
125 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
116 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
3 AV 138 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
135 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
SOUTH FERRY,PARK-CEMETERY-ETC-MANHATTAN,MN99
PRINCE ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
145 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
149/GRAND CONC,PARK-CEMETERY-ETC-MANHATTAN,MN99
155 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
110 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
103 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
WORLD TRADE CTR,PARK-CEMETERY-ETC-MANHATTAN,MN99
161/YANKEE STAD,PARK-CEMETERY-ETC-MANHATTAN,MN99
191 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
163 ST-AMSTERDM,PARK-CEMETERY-ETC-MANHATTAN,MN99
168 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
138/GRAND CONC,PARK-CEMETERY-ETC-MANHATTAN,MN99
WALL ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
CHAMBERS ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
8 ST-NYU,PARK-CEMETERY-ETC-MANHATTAN,MN99
72 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
CORTLANDT ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
96 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
CITY HALL,PARK-CEMETERY-ETC-MANHATTAN,MN99
CENTRAL PK N110,PARK-CEMETERY-ETC-MANHATTAN,MN99
FULTON ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
34 ST-HUDSON YD,PARK-CEMETERY-ETC-MANHATTAN,MN99
BLEECKER ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
CANAL ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
BOWLING GREEN,PARK-CEMETERY-ETC-MANHATTAN,MN99
DYCKMAN ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
BROOK AV,PARK-CEMETERY-ETC-MANHATTAN,MN99
B'WAY-LAFAYETTE,PARK-CEMETERY-ETC-MANHATTAN,MN99
BROAD ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
ASTOR PL,PARK-CEMETERY-ETC-MANHATTAN,MN99
HARLEM 148 ST,PARK-CEMETERY-ETC-MANHATTAN,MN99
BROOKLYN BRIDGE,PARK-CEMETERY-ETC-MANHATTAN,MN99
FRANKLIN ST,SOHO-TRIBECA-CIVIC CENTER-LITTLE ITALY,MN24
SPRING ST,SOHO-TRIBECA-CIVIC CENTER-LITTLE ITALY,MN24
HOUSTON ST,SOHO-TRIBECA-CIVIC CENTER-LITTLE ITALY,MN24
51 ST,TURTLE BAY-EAST MIDTOWN,MN19
LEXINGTON AV/53,TURTLE BAY-EAST MIDTOWN,MN19
GRD CNTRL-42 ST,TURTLE BAY-EAST MIDTOWN,MN19
LEXINGTON AV/63,UPPER EAST SIDE-CARNEGIE HILL,MN40
68ST-HUNTER CO,UPPER EAST SIDE-CARNEGIE HILL,MN40
190 ST,WASHINGTON HEIGHTS NORTH,MN35
181 ST,WASHINGTON HEIGHTS NORTH,MN35
157 ST,WASHINGTON HEIGHTS SOUTH,MN36
175 ST,WASHINGTON HEIGHTS SOUTH,MN36
CHRISTOPHER ST,WEST VILLAGE,MN23
6 AV,WEST VILLAGE,MN23
