,GeogName,entry_pct_change,exit_pct_change
13,TURTLE BAY-EAST MIDTOWN,-80.89815513414669,-77.96857329111216
12,SOHO-TRIBECA-CIVIC CENTER-LITTLE ITALY,-80.47311172986915,-78.29670269628457
17,WEST VILLAGE,-78.7559148951149,-76.64655587334913
5,LINCOLN SQUARE,-78.35013244558279,-76.23302142143436
3,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE,-78.16246511602424,-72.42478611514602
9,MIDTOWN-MIDTOWN SOUTH,-78.07892195580123,-76.11739565964858
10,MORNINGSIDE HEIGHTS,-77.26584199026391,-70.01594336037408
1,EAST VILLAGE,-76.87804320363409,-71.85907585910203
11,PARK-CEMETERY-ETC-MANHATTAN,-74.4658787599341,-70.29704253520882
14,UPPER EAST SIDE-CARNEGIE HILL,-74.17086480501939,-71.3161998065943
